name,login,package,n_commits,package_author
Hadley Wickham,login_1,AzureStor,1,FALSE
Hadley Wickham,login_1,DBI,128,TRUE
Hadley Wickham,login_1,DataFakeR,1,FALSE
Hadley Wickham,login_1,DescribeDisplay,22,TRUE
Hadley Wickham,login_1,GWPR.light,1,FALSE
Hadley Wickham,login_1,GetLattesData,1,FALSE
Hadley Wickham,login_1,NEONiso,1,FALSE
Hadley Wickham,login_1,PHEindicatormethods,2,FALSE
Hadley Wickham,login_1,PKNCA,1,FALSE
Hadley Wickham,login_1,R6,11,FALSE
Hadley Wickham,login_1,RMariaDB,184,TRUE
Hadley Wickham,login_1,RMySQL,102,TRUE
Hadley Wickham,login_1,RNeXML,2,FALSE
Hadley Wickham,login_1,RPostgres,113,TRUE
Hadley Wickham,login_1,RPresto,1,FALSE
Hadley Wickham,login_1,RSQLite,382,TRUE
Hadley Wickham,login_1,Rcereal,2,FALSE
Hadley Wickham,login_1,Rcpp,1,FALSE
Hadley Wickham,login_1,TreeTools,1,FALSE
Hadley Wickham,login_1,analogsea,107,TRUE
Hadley Wickham,login_1,anyflights,63,TRUE
Hadley Wickham,login_1,apyramid,2,FALSE
Hadley Wickham,login_1,arkdb,1,FALSE
Hadley Wickham,login_1,audubon,1,FALSE
Hadley Wickham,login_1,autostats,1,FALSE
Hadley Wickham,login_1,babynames,59,TRUE
Hadley Wickham,login_1,baseballr,1,FALSE
Hadley Wickham,login_1,bayesplot,4,FALSE
Hadley Wickham,login_1,bigrquery,382,TRUE
Hadley Wickham,login_1,blob,26,TRUE
Hadley Wickham,login_1,bookdown,9,TRUE
Hadley Wickham,login_1,brew,5,FALSE
Hadley Wickham,login_1,broom,4,TRUE
Hadley Wickham,login_1,bumbl,1,FALSE
Hadley Wickham,login_1,callr,2,FALSE
Hadley Wickham,login_1,canaper,1,FALSE
Hadley Wickham,login_1,cellranger,6,TRUE
Hadley Wickham,login_1,cheese,2,FALSE
Hadley Wickham,login_1,childesr,1,FALSE
Hadley Wickham,login_1,chunked,1,FALSE
Hadley Wickham,login_1,circumplex,1,FALSE
Hadley Wickham,login_1,cli,16,TRUE
Hadley Wickham,login_1,coalitions,1,FALSE
Hadley Wickham,login_1,codebook,2,FALSE
Hadley Wickham,login_1,commonmark,1,FALSE
