boss,boss_type,location,archstone,percent_completed
Phalanx,Demon,Boletarian Palace,1-1,63.1
Tower Knight,Demon,Boletarian Palace,1-2,46.6
Penetrator,Demon,Boletarian Palace,1-3,30.3
False King,Archdemon,Boletarian Palace,1-4,24.2
Armor Spider,Demon,Stonefang Tunnel,2-1,43.9
Flamelurker,Demon,Stonefang Tunnel,2-2,35.1
Dragon God,Archdemon,Stonefang Tunnel,2-3,33.1
Fool’s Idol,Demon,Tower of Latria,3-1,35.7
Maneater,Demon,Tower of Latria,3-2,28.7
Old Monk,Archdemon,Tower of Latria,3-3,27.7
Adjudicator,Demon,Shrine of Storms,4-1,36.1
Old Hero,Demon,Shrine of Storms,4-2,28.8
Storm King,Archdemon,Shrine of Storms,4-3,28.1
Leechmonger,Demon,Valley of Defilement,5-1,32.5
Dirty Colossus,Demon,Valley of Defilement,5-2,27.2
Maiden Astraea,Archdemon,Valley of Defilement,5-3,26.6
